contig_length	completeness	type	type2
37249	97.97	SiPs-L	SiPs
39887	98.9	SiPs-L	SiPs
14925	30.83	SiPs-S	SiPs
42181	100	SiPs-L	SiPs
20526	26.79	SiPs-S	SiPs
37796	100	SiPs-L	SiPs
41736	100	SiPs-L	SiPs
40606	99.71	SiPs-L	SiPs
33656	90.96	SiPs-L	SiPs
9748	13.37	SiPs-S	SiPs
18733	51.11	SiPs-S	SiPs
45566	100	SiPs-L	SiPs
36304	77.47	SiPs-L	SiPs
21244	57.75	SiPs-S	SiPs
33040	99.41	SiPs-L	SiPs
30421	100	SiPs-L	SiPs
33851	93.28	SiPs-L	SiPs
9742	23.52	SiPs-S	SiPs
37195	100	SiPs-L	SiPs
29484	53.55	SiPs-S	SiPs
13105	32.47	SiPs-S	SiPs
46754	99.09	SiPs-L	SiPs
15159	34.55	SiPs-S	SiPs
35262	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
9816	100	SiPs-S	SiPs
36014	100	SiPs-L	SiPs
11604	13	SiPs-S	SiPs
21247	57.76	SiPs-S	SiPs
32384	100	SiPs-L	SiPs
34273	92.39	SiPs-L	SiPs
34291	68.86	SiPs-L	SiPs
30495	100	SiPs-L	SiPs
56079	100	SiPs-L	SiPs
5764	0.58	SiPs-S	SiPs
37466	65.62	SiPs-L	SiPs
39736	100	SiPs-L	SiPs
6776	63.48	SiPs-S	SiPs
46079	88.12	SiPs-L	SiPs
21244	57.75	SiPs-S	SiPs
13494	35.7	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
60687	100	SiPs-L	SiPs
40922	100	SiPs-L	SiPs
15888	35.71	SiPs-S	SiPs
13494	35.7	SiPs-S	SiPs
12109	28.73	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
21072	57.28	SiPs-S	SiPs
6776	63.48	SiPs-S	SiPs
49596	100	SiPs-L	SiPs
12145	14.48	SiPs-S	SiPs
14095	9.48	SiPs-S	SiPs
28966	97.42	SiPs-S	SiPs
15996	37.97	SiPs-S	SiPs
7789	89.3	SiPs-S	SiPs
14095	9.48	SiPs-S	SiPs
28965	97.42	SiPs-S	SiPs
15996	37.97	SiPs-S	SiPs
35387	100	SiPs-L	SiPs
33773	83.75	SiPs-L	SiPs
19513	31.31	SiPs-S	SiPs
18957	36.93	SiPs-S	SiPs
14297	36.01	SiPs-S	SiPs
21241	57.74	SiPs-S	SiPs
9748	13.37	SiPs-S	SiPs
12904	100	SiPs-S	SiPs
31173	97.53	SiPs-L	SiPs
9489	80.62	SiPs-S	SiPs
13172	100	SiPs-S	SiPs
11936	32.64	SiPs-S	SiPs
35016	39.28	SiPs-L	SiPs
40538	100	SiPs-L	SiPs
38121	97.08	SiPs-L	SiPs
14095	9.48	SiPs-S	SiPs
29027	97.62	SiPs-S	SiPs
15996	37.97	SiPs-S	SiPs
21244	57.75	SiPs-S	SiPs
51765	100	SiPs-L	SiPs
39891	100	SiPs-L	SiPs
17137	44.52	SiPs-S	SiPs
36386	100	SiPs-L	SiPs
15526	36.89	SiPs-S	SiPs
12364	34.35	SiPs-S	SiPs
32330	100	SiPs-L	SiPs
10652	90.5	SiPs-S	SiPs
35685	100	SiPs-L	SiPs
51256	100	SiPs-L	SiPs
47759	100	SiPs-L	SiPs
15233	34.67	SiPs-S	SiPs
9811	22.82	SiPs-S	SiPs
38416	79.12	SiPs-L	SiPs
21072	57.28	SiPs-S	SiPs
9736	13.36	SiPs-S	SiPs
21072	57.28	SiPs-S	SiPs
21072	57.28	SiPs-S	SiPs
30528	93.68	SiPs-L	SiPs
35882	95.74	SiPs-L	SiPs
21244	57.75	SiPs-S	SiPs
21549	46.31	SiPs-S	SiPs
34234	100	SiPs-L	SiPs
40902	94.66	SiPs-L	SiPs
37452	100	SiPs-L	SiPs
50086	100	SiPs-L	SiPs
8855	75.23	SiPs-S	SiPs
9736	13.36	SiPs-S	SiPs
31069	97.78	SiPs-L	SiPs
9748	13.37	SiPs-S	SiPs
31178	97.43	SiPs-L	SiPs
9490	80.63	SiPs-S	SiPs
35166	98.74	SiPs-L	SiPs
13434	33.48	SiPs-S	SiPs
31179	97.44	SiPs-L	SiPs
17137	44.52	SiPs-S	SiPs
15346	28.96	SiPs-S	SiPs
